obsnme,obsval,weight,obgnme
actet_mon:2001_3:85114,0.0192499998956918,7500.0,actet_mon
actet_mon:2001_3:85116,0.0258000008761882,7500.0,actet_mon
actet_mon:2001_4:84012,0.0636999979615211,7500.0,actet_mon
actet_mon:2001_4:84017,0.0627000033855438,7500.0,actet_mon
actet_mon:2001_4:84023,0.0589000023901462,7500.0,actet_mon
actet_mon:2001_4:84032,0.061999998986721,7500.0,actet_mon
actet_mon:2001_4:84038,0.0797500014305114,7500.0,actet_mon
actet_mon:2001_4:84124,0.0636999979615211,7500.0,actet_mon
actet_mon:2001_4:84148,0.0579500012099742,7500.0,actet_mon
actet_mon:2001_4:84165,0.0593999996781349,7500.0,actet_mon
actet_mon:2001_4:85114,0.0488499999046325,7500.0,actet_mon
actet_mon:2001_4:85116,0.0560999996960163,7500.0,actet_mon
actet_mon:2001_5:84012,0.0744500011205673,7500.0,actet_mon
actet_mon:2001_5:84017,0.0921500027179718,7500.0,actet_mon
actet_mon:2001_5:84023,0.0884499996900558,7500.0,actet_mon
actet_mon:2001_5:84032,0.0935000032186508,7500.0,actet_mon
actet_mon:2001_5:84038,0.096950002014637,7500.0,actet_mon
actet_mon:2001_5:84124,0.0884499996900558,7500.0,actet_mon
actet_mon:2001_5:84148,0.0835499987006187,7500.0,actet_mon
actet_mon:2001_5:84165,0.0806500017642974,7500.0,actet_mon
actet_mon:2001_5:85114,0.0821000039577484,7500.0,actet_mon
actet_mon:2001_5:85116,0.0786999985575676,7500.0,actet_mon
actet_mon:2001_6:84012,0.0555000007152557,7500.0,actet_mon
actet_mon:2001_6:84017,0.1021500006318092,7500.0,actet_mon
actet_mon:2001_6:84023,0.065700002014637,7500.0,actet_mon
actet_mon:2001_6:84032,0.1014999970793724,7500.0,actet_mon
actet_mon:2001_6:84038,0.113549992442131,7500.0,actet_mon
actet_mon:2001_6:84124,0.0934999957680702,7500.0,actet_mon
actet_mon:2001_6:84148,0.0888999998569488,7500.0,actet_mon
actet_mon:2001_6:84165,0.091449998319149,7500.0,actet_mon
actet_mon:2001_6:85114,0.0912999957799911,7500.0,actet_mon
actet_mon:2001_6:85116,0.0885000005364418,7500.0,actet_mon
actet_mon:2001_7:84012,0.0590000003576278,7500.0,actet_mon
actet_mon:2001_7:84017,0.093199998140335,7500.0,actet_mon
actet_mon:2001_7:84023,0.0586000010371208,7500.0,actet_mon
actet_mon:2001_7:84032,0.0833500027656555,7500.0,actet_mon
actet_mon:2001_7:84038,0.1062999963760376,7500.0,actet_mon
actet_mon:2001_7:84124,0.0897500067949295,7500.0,actet_mon
actet_mon:2001_7:84148,0.1034999936819076,7500.0,actet_mon
actet_mon:2001_7:84165,0.0961999967694282,7500.0,actet_mon
actet_mon:2001_7:85114,0.1072500050067901,7500.0,actet_mon
actet_mon:2001_7:85116,0.1055999994277954,7500.0,actet_mon
actet_mon:2001_8:84012,0.0627999976277351,7500.0,actet_mon
actet_mon:2001_8:84017,0.0888499990105629,7500.0,actet_mon
actet_mon:2001_8:84023,0.0673500001430511,7500.0,actet_mon
actet_mon:2001_8:84032,0.0859000012278556,7500.0,actet_mon
actet_mon:2001_8:84038,0.0903999954462051,7500.0,actet_mon
actet_mon:2001_8:84124,0.0839000046253204,7500.0,actet_mon
actet_mon:2001_8:84148,0.0820000022649765,7500.0,actet_mon
actet_mon:2001_8:84165,0.0877500027418136,7500.0,actet_mon
actet_mon:2001_8:85114,0.0808999985456466,7500.0,actet_mon
actet_mon:2001_8:85116,0.0852499976754188,7500.0,actet_mon
actet_mon:2001_9:84012,0.0216000005602836,7500.0,actet_mon
actet_mon:2001_9:84017,0.0485000014305114,7500.0,actet_mon
actet_mon:2001_9:84023,0.0238500013947486,7500.0,actet_mon
actet_mon:2001_9:84032,0.0457499995827674,7500.0,actet_mon
actet_mon:2001_9:84038,0.0462500005960464,7500.0,actet_mon
actet_mon:2001_9:84124,0.0407999977469444,7500.0,actet_mon
actet_mon:2001_9:84148,0.0452499985694885,7500.0,actet_mon
actet_mon:2001_9:84165,0.0429500006139278,7500.0,actet_mon
actet_mon:2001_9:85114,0.0458500012755394,7500.0,actet_mon
actet_mon:2001_9:85116,0.0441499985754489,7500.0,actet_mon
actet_mon:2002_10:84012,0.0288500003516674,7500.0,actet_mon
actet_mon:2002_10:84017,0.0415499992668628,7500.0,actet_mon
actet_mon:2002_10:84023,0.032600000500679,7500.0,actet_mon
actet_mon:2002_10:84032,0.046399999409914,7500.0,actet_mon
actet_mon:2002_10:84038,0.0480000004172325,7500.0,actet_mon
actet_mon:2002_10:84124,0.0505999997258186,7500.0,actet_mon
actet_mon:2002_10:84148,0.0507999993860721,7500.0,actet_mon
actet_mon:2002_10:84165,0.0504000037908554,7500.0,actet_mon
actet_mon:2002_10:85114,0.047749999910593,7500.0,actet_mon
actet_mon:2002_10:85116,0.0473500005900859,7500.0,actet_mon
actet_mon:2002_11:84012,0.0257500000298023,7500.0,actet_mon
actet_mon:2002_11:84017,0.0215999986976385,7500.0,actet_mon
actet_mon:2002_11:84023,0.0248499996960163,7500.0,actet_mon
actet_mon:2002_11:84032,0.0277500003576278,7500.0,actet_mon
actet_mon:2002_11:84038,0.0311000011861324,7500.0,actet_mon
actet_mon:2002_11:84124,0.0195000004023313,7500.0,actet_mon
actet_mon:2002_11:84148,0.0165500007569789,7500.0,actet_mon
actet_mon:2002_11:84165,0.0199500005692243,7500.0,actet_mon
actet_mon:2002_11:85114,0.0157999992370605,7500.0,actet_mon
actet_mon:2002_11:85116,0.0238000005483627,7500.0,actet_mon
actet_mon:2002_12:84012,0.0133999995887279,7500.0,actet_mon
actet_mon:2002_12:84017,0.0124000003561377,7500.0,actet_mon
actet_mon:2002_12:84023,0.012699999846518,7500.0,actet_mon
actet_mon:2002_12:84032,0.0121499998494982,7500.0,actet_mon
actet_mon:2002_12:84038,0.0140000004321336,7500.0,actet_mon
actet_mon:2002_12:84124,0.0120999999344348,7500.0,actet_mon
actet_mon:2002_12:84148,0.0116499997675418,7500.0,actet_mon
