obsnme,obsval,weight,obgnme,lower_bound,upper_bound
actet_mean_mon:8:85114,0.0731000006198883,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:85116,0.0742136389017105,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84012,0.0364409089088439,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84017,0.0496818162500858,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84023,0.0384090915322303,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84032,0.0502863675355911,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84038,0.0550863668322563,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84124,0.0534454584121704,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84148,0.0564409121870994,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:84165,0.0549954622983932,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:85114,0.0563636347651481,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:9:85116,0.0555545501410961,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mon:2000_10:84012,0.0196000002324581,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84017,0.0395999997854232,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84023,0.0228500012308359,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84032,0.037550002336502,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84038,0.0346500016748905,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84124,0.0345000028610229,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84148,0.0351999998092651,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:84165,0.0356499999761581,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:85114,0.031649999320507,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_10:85116,0.0344500020146369,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84012,0.0172000005841255,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84017,0.0176500007510185,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84023,0.0185000002384185,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84032,0.0186000000685453,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84038,0.0194499995559453,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84124,0.0155499996617436,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84148,0.0167000014334917,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:84165,0.0168000012636184,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:85114,0.0169999990612268,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_11:85116,0.0175999999046325,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84012,0.0132499998435378,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84017,0.0119500001892447,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84023,0.012249999679625,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84032,0.0119500001892447,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84038,0.0137000000104308,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84124,0.0130000002682209,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84148,0.0131000000983476,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:84165,0.012699999846518,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:85114,0.0128999995067715,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_12:85116,0.0128999995067715,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84012,0.0127499997615814,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84017,0.0122999995946884,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84023,0.0129000004380941,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84032,0.0116999996826052,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84038,0.0138499997556209,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84124,0.012699999846518,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84148,0.0114500001072883,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:84165,0.0127500006929039,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:85114,0.0105999996885657,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_1:85116,0.0129500003531575,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84012,0.0165500007569789,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84017,0.0171000007539987,12859.265415737325,actet_mon,0,100000000000.0
