parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
adjmix_rain:hru_36962:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_36962:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37892:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37895:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37896:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37985:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37986:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
